dimension;class;items;instance_number;LB;UB;best_known_LB;best_known_UB
2;5;50;5;4;4;4;4
2;5;50;6;4;4;4;4
2;5;50;7;4;4;4;4
2;5;50;8;4;4;4;4
2;5;50;9;4;4;4;4
2;5;50;10;4;4;4;4
2;5;100;1;7;7;7;7
2;5;100;2;7;7;7;7
2;5;100;3;7;7;7;7
2;5;100;4;7;7;7;7
2;5;100;5;7;7;7;7
2;5;100;6;7;7;7;7
2;5;100;7;7;7;7;7
2;5;100;8;7;7;7;7
2;5;100;9;7;7;7;7
2;5;100;10;7;7;7;7
2;5;200;1;13;14;13;13
2;5;200;2;13;13;13;13
2;5;200;3;13;13;13;13
2;5;200;4;13;14;13;13
2;5;200;5;13;13;13;13
2;5;200;6;13;13;13;13
2;5;200;7;13;13;13;13
2;5;200;8;13;13;13;13
2;5;200;9;13;13;13;13
2;5;200;10;13;13;13;13
2;6;25;1;10;10;10;10
2;6;25;2;10;10;10;10
2;6;25;3;10;10;10;10
2;6;25;4;10;10;10;10
2;6;25;5;10;10;10;10
2;6;25;6;10;10;10;10
2;6;25;7;10;10;10;10
2;6;25;8;10;10;10;10
2;6;25;9;10;10;10;10
2;6;25;10;11;11;11;11
2;6;50;1;21;21;21;21
2;6;50;2;21;21;21;21
2;6;50;3;21;21;21;21
2;6;50;4;21;21;21;21
2;6;50;5;21;21;21;21
2;6;50;6;22;22;22;22
2;6;50;7;22;22;22;22
2;6;50;8;22;22;22;22
2;6;50;9;22;22;22;22
2;6;50;10;22;22;22;22
2;6;100;1;41;41;41;41
2;6;100;2;41;41;41;41
2;6;100;3;41;41;41;41
2;6;100;4;41;41;41;41
2;6;100;5;41;41;41;41
2;6;100;6;41;41;41;41
2;6;100;7;41;41;41;41
2;6;100;8;41;41;41;41
2;6;100;9;41;41;41;41
2;6;100;10;41;41;41;41
2;6;200;1;81;81;81;81
2;6;200;2;81;81;81;81
2;6;200;3;81;81;81;81
2;6;200;4;81;81;81;81
2;6;200;5;81;81;81;81
2;6;200;6;81;81;81;81
2;6;200;7;81;81;81;81
2;6;200;8;81;81;81;81
2;6;200;9;81;81;81;81
2;6;200;10;82;82;82;82
2;7;25;1;9;9;9;9
2;7;25;2;9;9;9;9
2;7;25;3;10;10;10;10
2;7;25;4;10;10;10;10
2;7;25;5;10;10;10;10
2;7;25;6;10;10;10;10
2;7;25;7;10;10;10;10
2;7;25;8;9;9;9;9
2;7;25;9;10;10;10;10
2;7;25;10;9;9;9;9
2;7;50;1;21;21;21;21
2;7;50;2;18;18;18;18
2;7;50;3;21;21;21;21
2;7;50;4;18;18;18;18
2;7;50;5;21;21;21;21
2;7;50;6;18;18;18;18
2;7;50;7;22;22;22;22
2;7;50;8;18;18;18;18
2;7;50;9;22;22;22;22
2;7;50;10;18;18;18;18
2;7;100;1;41;41;41;41
2;7;100;2;39;39;39;39
2;7;100;3;41;41;41;41
2;7;100;4;39;39;39;39
2;7;100;5;41;41;41;41
2;7;100;6;39;39;39;39
2;7;100;7;41;41;41;41
2;7;100;8;40;40;40;40
2;7;100;9;41;41;41;41
2;7;100;10;40;40;40;40
2;7;200;1;80;80;80;80
2;7;200;2;80;80;80;80
2;7;200;3;80;80;80;80
2;7;200;4;80;80;80;80
2;7;200;5;80;80;80;80
2;7;200;6;80;80;80;80
2;7;200;7;80;80;80;80
2;7;200;8;80;80;80;80
2;7;200;9;81;81;81;81
2;7;200;10;80;80;80;80
2;8;25;1;13;13;13;13
2;8;25;2;13;13;13;13
2;8;25;3;13;13;13;13
2;8;25;4;13;13;13;13
2;8;25;5;13;13;13;13
2;8;25;6;13;13;13;13
2;8;25;7;13;13;13;13
2;8;25;8;13;13;13;13
2;8;25;9;13;13;13;13
2;8;25;10;13;13;13;13
2;8;50;1;25;25;25;25
2;8;50;2;25;25;25;25
2;8;50;3;25;25;25;25
2;8;50;4;25;25;25;25
2;8;50;5;25;25;25;25
2;8;50;6;25;25;25;25
2;8;50;7;25;25;25;25
2;8;50;8;25;25;25;25
2;8;50;9;25;25;25;25
2;8;50;10;25;25;25;25
2;8;100;1;50;50;50;50
2;8;100;2;50;50;50;50
2;8;100;3;50;50;50;50
2;8;100;4;50;50;50;50
2;8;100;5;50;50;50;50
2;8;100;6;50;50;50;50
2;8;100;7;50;50;50;50
2;8;100;8;50;50;50;50
2;8;100;9;50;50;50;50
2;8;100;10;50;50;50;50
2;8;200;1;100;100;100;100
2;8;200;2;100;100;100;100
2;8;200;3;100;100;100;100
2;8;200;4;100;100;100;100
2;8;200;5;100;100;100;100
2;8;200;6;100;100;100;100
2;8;200;7;100;100;100;100
2;8;200;8;100;100;100;100
2;8;200;9;100;100;100;100
2;8;200;10;100;100;100;100
2;9;25;1;7;7;7;7
2;9;25;2;7;7;7;7
2;9;25;3;7;7;7;7
2;9;25;4;7;7;7;7
2;9;25;5;7;7;7;7
2;9;25;6;7;7;7;7
2;9;25;7;7;7;7;7
2;9;25;8;8;8;8;8
2;9;25;9;8;8;8;8
2;9;25;10;8;8;8;8
2;9;50;1;14;14;14;14
2;9;50;2;14;14;14;14
2;9;50;3;14;14;14;14
2;9;50;4;14;14;14;14
2;9;50;5;14;14;14;14
2;9;50;6;15;15;15;15
2;9;50;7;15;15;15;15
2;9;50;8;15;15;15;15
2;9;50;9;15;15;15;15
2;9;50;10;15;15;15;15
2;9;100;1;26;26;26;26
2;9;100;2;27;27;27;27
2;9;100;3;27;27;27;27
2;9;100;4;26;26;26;26
2;9;100;5;26;26;26;26
2;9;100;6;27;27;27;27
2;9;100;7;27;27;27;27
2;9;100;8;27;27;27;27
2;9;100;9;27;27;27;27
2;9;100;10;27;27;27;27
2;9;200;1;50;52;50;50
2;9;200;2;50;51;50;50
2;9;200;3;50;57;50;50
2;9;200;4;50;57;50;50
2;9;200;5;50;51;50;50
2;9;200;6;50;51;50;50
2;9;200;7;50;52;50;50
2;9;200;8;51;58;51;51
2;9;200;9;51;57;51;51
2;9;200;10;51;52;51;51
2;10;24;1;8;8;8;8
2;10;24;2;8;8;8;8
2;10;24;3;8;8;8;8
2;10;24;4;8;8;8;8
2;10;24;5;8;8;8;8
2;10;24;6;8;8;8;8
2;10;24;7;8;8;8;8
2;10;24;8;8;8;8;8
2;10;24;9;8;8;8;8
2;10;24;10;8;8;8;8
2;10;51;1;17;17;17;17
2;10;51;2;17;17;17;17
2;10;51;3;17;17;17;17
2;10;51;4;17;17;17;17
2;10;51;5;17;17;17;17
2;10;51;6;17;17;17;17
2;10;51;7;17;17;17;17
2;10;51;8;17;17;17;17
2;10;51;9;17;17;17;17
2;10;51;10;17;17;17;17
2;10;99;1;33;33;33;33
2;10;99;2;33;33;33;33
2;10;99;3;33;33;33;33
2;10;99;4;33;33;33;33
2;10;99;5;33;33;33;33
2;10;99;6;33;33;33;33
2;10;99;7;33;33;33;33
2;10;99;8;33;33;33;33
2;10;99;9;33;33;33;33
2;10;99;10;33;33;33;33
2;10;201;1;67;67;67;67
2;10;201;2;67;68;67;67
2;10;201;3;67;67;67;67
2;10;201;4;67;67;67;67
2;10;201;5;67;67;67;67
2;10;201;6;67;67;67;67
2;10;201;7;67;67;67;67
2;10;201;8;67;67;67;67
2;10;201;9;67;67;67;67
2;10;201;10;67;67;67;67
20;1;25;;8;8;8;8
20;1;50;;15;15;15;15
20;1;100;;29;29;29;29
20;1;200;;57;57;57;57
20;2;25;;23;23;23;23
20;2;50;;48;48;48;48
20;2;100;;98;98;98;98
20;2;200;;193;193;193;193
20;3;25;;23;23;23;23
20;3;50;;48;48;48;48
20;3;100;;98;98;98;98
20;3;200;;193;193;193;193
20;4;25;;4;4;4;4
20;4;50;;7;8;7;8
20;4;100;;;15;;15
20;4;200;;;30;;30
20;5;25;;2;2;2;2
20;5;50;;;4;;4
20;5;100;;;7;;7
20;5;200;;;15;;15
20;6;25;;13;13;13;13
20;6;50;;26;26;26;26
20;6;100;;52;52;52;52
20;6;200;;102;102;102;102
20;7;25;;13;13;13;13
20;7;50;;26;26;26;26
20;7;100;;52;52;52;52
20;7;200;;102;102;102;102
20;8;25;;21;21;21;21
20;8;50;;37;37;37;37
20;8;100;;63;63;63;63
20;8;200;;104;104;104;104
20;9;25;;8;8;8;8
20;9;50;;16;16;16;16
20;9;100;;31;31;31;31
20;9;200;;58;58;58;58
20;10;24;;10;10;10;10
20;10;51;;21;21;21;21
20;10;99;;39;39;39;39
20;10;201;;77;77;77;77
